name,desc,longitude,latitude
Kyaneai antik kenti (aka Cyaneae),,29.815071,36.245389
turnoff to Trysa,,29.896623,36.263519
Antiphellos (Likya) rating 2,end,29.638490,36.201590
Apollonia (Likya) rating 3,,29.764130,36.186460
Hoyran (Likya) rating 3 access,,29.875128,36.234071
Isinda (Likya) rating 2 access,,29.694857,36.195791
"Korba, Corba (Likya) rating 2",,29.812040,36.289230
Oninda (Likya) rating 2 access,,29.788358,36.204293
Phellos (Likya) rating 3,,29.661420,36.242240
Sebeda (Likya) rating 1 access,,29.652988,36.183288
Tüse (Likya) rating 1 access,,29.760808,36.261452
Tyberissos (Likya) rating 3 access,,29.846767,36.216185
Tyinda (Likya) rating 2 access,,29.727571,36.223737
St. Gabriel Church 'Alakilise' (Likya) rating 0,,29.991720,36.266830
Demre,start,29.987891,36.242588
